"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Ray-Ray McCloud","PIT","0.2","3.1","0.0","0.0","0.3","0.0","0.0","0.4"
"Chad Beebe","MIN","0.2","3.2","0.0","0.0","0.0","0.0","0.0","0.4"
"Keith Kirkwood","CAR","0.3","3.1","0.0","0.0","0.0","0.0","0.0","0.4"
"Andre Roberts","BUF","0.2","2.4","0.0","0.3","0.7","0.0","0.0","0.4"
"Chad Hansen","HOU","0.2","2.9","0.0","0.0","0.0","0.0","0.0","0.3"
"Steven Mitchell Jr.","HOU","0.2","2.8","0.0","0.0","0.0","0.0","0.0","0.3"
"Marcus Kemp","KC","0.2","2.9","0.0","0.0","0.1","0.0","0.0","0.3"
"James Proche","BAL","0.2","2.1","0.0","0.0","0.3","0.0","0.0","0.3"
"Nsimba Webster","LAR","0.2","2.4","0.0","0.0","0.2","0.0","0.0","0.3"
"K.J. Osborn","MIN","0.1","2.0","0.0","0.0","0.2","0.0","0.0","0.3"
"Cody Core","NYG","0.2","2.1","0.0","0.0","0.0","0.0","0.0","0.3"
"Stanley Morgan Jr.","CIN","0.1","1.5","0.0","0.0","0.0","0.0","0.0","0.2"
"JoJo Natson","CLE","0.1","1.7","0.0","0.0","0.1","0.0","0.0","0.2"
"Travis Fulgham","PHI","0.1","1.4","0.0","0.0","0.0","0.0","0.0","0.2"
"Keke Coutee","HOU","0.1","1.4","0.0","0.0","0.0","0.0","0.0","0.2"
"Riley Ridley","CHI","0.1","1.1","0.0","0.0","0.0","0.0","0.0","0.2"
"Matthew Slater","NE","0.0","1.5","0.0","0.0","0.2","0.0","0.0","0.2"
"Ventell Bryant","DAL","0.1","1.4","0.0","0.0","0.0","0.0","0.0","0.1"
"DeAndrew White","BAL","0.1","1.1","0.0","0.0","0.0","0.0","0.0","0.1"
"Dan Chisena","MIN","0.1","1.0","0.0","0.0","0.0","0.0","0.0","0.1"
"Lil'Jordan Humphrey","NO","0.1","0.9","0.0","0.0","0.0","0.0","0.0","0.1"
"Chris Thompson","JAC","0.1","0.8","0.0","0.0","0.0","0.0","0.0","0.1"
"Rico Gafford","LV","0.1","0.6","0.0","0.0","0.0","0.0","0.0","0.1"
"Shelton Gibson","WAS","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Ishmael Hyman","CAR","0.0","0.5","0.0","0.0","0.0","0.0","0.0","0.1"
"Alshon Jeffery","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jake Kumerow","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dezmon Patmon","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cam Sims","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trishton Jackson","LAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
